"","id","baseMean","baseMeanA","baseMeanB","foldChange","log2FoldChange","pval","padj"
"67","ECB_00067",93.1588560398639,39.9493333536814,146.368378726046,3.66385034338898,1.87336057514335,0.00503259694406421,1
"267","ECB_00267",108.910733784664,67.1421976716465,150.679269897681,2.24418138105287,1.16618928333104,0.0429755968368588,1
"268","ECB_00268",160.583024701192,101.228003003046,219.938046399338,2.17269964708007,1.1194887508572,0.0380630577099318,1
"270","ECB_00270",158.903823521846,84.8776149777936,232.930032065898,2.74430463352251,1.45644063780744,0.017825562975098,1
"657","ECB_00657",115.800495539776,178.234607154981,53.3663839245706,0.299416509377255,-1.73977432325711,0.0353396791440259,1
"692","ECB_00692",1126.03779289804,1554.43077734661,697.644808449474,0.448810470441369,-1.1558217614593,0.0217733840409183,1
"693","ECB_00693",382.059091600374,570.521260143174,193.596923057573,0.339333407152941,-1.5592246254593,0.0220113978264453,1
"694","ECB_00694",57.9725367848001,80.7297031084879,35.2153704611124,0.436213303222341,-1.19689432628367,0.0469018023064419,1
"803","ECB_00803",86.1505283302158,142.220367440941,30.0806892194902,0.211507604436344,-2.24121856068928,0.00291076422128994,1
"992","ECB_00992",124.798115505049,29.0118730021021,220.584358007995,7.60324429905001,2.92661514690073,0.030074266184777,1
"1215","ECB_01215",4517.01275263535,6915.8148163124,2118.21068895829,0.30628505031136,-1.70705314377816,0.0182132134079169,1
"1379","ECB_01379",236.123802655454,166.741782013749,305.505823297158,1.83220917761312,0.873584220835428,0.0458190285101329,1
"1632","ECB_01632",309.44969580475,511.724860777217,107.174530832282,0.209437803489758,-2.25540622289193,0.00876274197734432,1
"1922","ECB_01922",1236.31229871082,1771.58649976012,701.038097661511,0.395712034245256,-1.3374771542117,0.0313807794108807,1
"1924","ECB_01924",970.380142059398,1341.08398338417,599.676300734632,0.447157902237693,-1.16114372310103,0.0350235754372881,1
"2098","ECB_02098",127.339448468023,47.4519038773528,207.226993058693,4.36709544034955,2.12667406072989,0.0154537772174138,1
"2111","ECB_02111",163.728792558122,94.0309759094714,233.426609206773,2.48244375801762,1.31176103257814,0.0321778797073907,1
"2160","ECB_02160",244.41158272021,307.710198078621,181.1129673618,0.58858292150436,-0.764682413666529,0.0472423389827373,1
"2180","ECB_02180",2.47366321812599,4.77379569101952,0.173530745232468,0.0363506853799618,-4.78187362384305,0.0186902604728434,1
"2319","ECB_02319",5.81412983357328,2.68329653025742,8.94496313688914,3.33357235625055,1.7370690416105,0.0264520710385442,1
"2473","ECB_02473",1854.25398161944,2965.09287304646,743.415090192426,0.25072236251022,-1.99583741565297,0.0410993656508675,1
"2827","ECB_02827",31.0398770091768,13.0519998047363,49.0277542136172,3.75634040354689,1.90932780746889,0.019109765402783,1
"2992","ECB_02992",9.06771312951586,2.68329653025742,15.4521297287743,5.75863664508668,2.52572729462139,0.0141998395841476,1
"3048","ECB_03048",475.962696559644,198.769028532336,753.156364586951,3.78910321264877,1.92185643843424,0.00892534021197895,1
"3216","ECB_03216",53.6143451824079,89.646772035366,17.5819183294498,0.196124388310531,-2.35015914728731,0.000358423109652062,0.764874915997501
"3261","ECB_03261",144.475527094745,235.692767811313,53.2582863781776,0.225964873138637,-2.14582957573121,0.000306234132650459,0.764874915997501
"3306","ECB_03306",101.760951417964,53.479967903395,150.041934932533,2.80557264364042,1.48829526845332,0.0356951863935911,1
"3309","ECB_03309",1316.6111900222,517.312720145823,2115.90965989858,4.09019453320642,2.03216946062865,0.00374163484481964,1
"3406","ECB_03406",33774.658820658,17541.1031801147,50008.2144612013,2.85091615662422,1.5114256112853,0.0217397458787415,1
"3628","ECB_03628",6149.45303083023,2422.93683769957,9875.96922396089,4.07603247030471,2.0271655442812,0.0366610112346816,1
"4025","ECB_04025",29.4488189972289,48.4738415473598,10.4237964470981,0.215039619604192,-2.21732560372107,0.0143941202473563,1
"4347","RF01796.1",17.8858182467916,31.0545915117559,4.71704498182728,0.151895251304195,-2.71885132726578,0.019392562581561,1
