"gene_id","t3","t4","t5","t6","t8","t24","t48","t168","t336"
"ECB_00001",0.0768213084158471,0.0347878776899102,1.50399748761465,0.0251109479731178,0.0535568859227327,0.106874441465558,0.0148387230205371,0.107132376934375,0.0735701007011998
"ECB_00002",0.346542866617412,0.19628849303703,0.488176173058503,0.269365725143554,0.564839263963921,0.0230119275719105,0.00757364310080966,0.0511109719617508,0.0658994081498959
"ECB_00003",0.33442922505556,0.157260096677974,0.0786577970135881,0.15273622444647,0.447865305667719,0.0101721212630447,0.012973360955709,0.044975389436867,0.0295068642092022
"ECB_00004",0.370021003048089,0.194914294020107,0.113395902858066,0.203824378453967,0.453274605775453,0.0247099730178469,0.0551046102780187,0.0132630638418174,0.0221947961016208
"ECB_00005",0.395088795652201,0.0768123792911565,0.325841238685443,0.177523382017399,0.276454790682067,0.0644276727144713,0.114503033230466,0.176270542183153,0.0643159898561905
"ECB_00006",1.00354827627964,0.501174730223422,0.104564008822899,0.257971950050721,0.127408591517551,0.516342439648225,0.402857723727518,0.285528815480962,0.204618717846513
"ECB_00007",0.0910401005513912,0.0922152941799973,0.151961383831766,0.143130251134939,0.532364130434528,0,0,0.384838701673588,0.188501506647021
"ECB_00008",0.846997857812209,0.119504038135845,0.343632267889106,0.117874818937825,0.0277215582771042,0.17477267735299,0.0365930603495482,0.206470639686765,0.0480133255814604
"ECB_00009",0.206756294642724,0.0286799910317512,0.0933204393854883,0.0233168981956545,0.046783896715122,0.189417396615154,0.252353298299597,0.438946183251446,0.253682321252366
"ECB_00010",0.414788910162116,0.165116748053687,0.240941315528423,0.270492325769303,0.368066926465161,0.866085649937662,0.23154279183222,0.311943117977371,0.270879222369299
"ECB_00011",0.0756676031658598,0.0251518629979627,0.0314460568801272,0.0667875054452506,0.374999282648726,0.903550038933077,0.84478093116945,0.869558000029407,0.34878574287159
"ECB_00012",0.0651391552742057,0.0760387630621933,0.063911699512685,0.0852242970538508,0,0,0,0.508498244184515,0.914019527320326
"ECB_00013",0.135418140723723,0.168408180949692,0,0.0818318544310142,0,0,1.73205080756888,0.352373246162396,0.414007444057922
"ECB_00014",0.175193909455687,0.069597893253363,0.0274632264046194,0.0894816635323806,0.086470459599697,0.139468747654055,0.0110829045456044,0.608389753907946,0.0330026790814963
