"gene_id","t3","t4","t5","t6","t8","t24","t48","t168","t336"
"ECB_00001",0.123303876968287,0.125408002682874,1,0.12339872278127,0.126558977555092,0.212272019885137,0.138484455527081,0.340514372553307,0.227856079701069
"ECB_00002",0.613442804978261,0.585407555255199,0.950919714221078,1,0.367627608606772,0.0345420258003958,0.0204728177913776,0.136571251166868,0.13966116102295
"ECB_00003",0.646353087257119,0.538326604704105,0.682503365775558,1,0.323690152497246,0.0314967550524403,0.030290505826997,0.125176361452994,0.124857885270422
"ECB_00004",0.678142099283804,0.711393422143963,0.783823076981461,1,0.313532432059378,0.016186511623531,0.0318146615776035,0.0300508753579775,0.0672289943114639
"ECB_00007",0.0993328933459859,0.205707290208706,0.170137857781686,0.39010315003796,0.80553211890162,0,0,1,0.737309468002659
"ECB_00010",0.517359057070337,0.882068505185102,0.993596264673701,0.597385622348787,0.625509005697425,1,0.13368129319325,0.349492525800807,0.705981529218162
"ECB_00013",0.0781837,0.156672267453693,0,0.0472456431840323,0,0,1,0.203442788527082,0.415484140559152
"ECB_00014",0.419933978777799,0.268741980239059,0.265448484090731,0.441548818338386,0.850127684144965,0.216262711120198,0.0428411742404787,1,0.105364781006654
"ECB_00015",0.522272840573114,0.515864468213089,0.670541123548583,1,0.979962272503195,0.169348531553565,0.0556046660793199,0.34138828858275,0.184324168770838
"ECB_00016",1,0.838558644025495,0.7505323747204,0.982017691884973,0.702314421865398,0.0201412976287452,0.151814715877867,0.500258768770171,0.505773511967313
"ECB_00024",0.504196051831741,0.568619726841271,0.674094915068133,1,0.502775322748007,0.136891593778085,0.257954561798299,0.451159983558275,0.65558655556603
"ECB_00026",0.416111270054401,1,0.919988400555601,0.428264436573351,0.0239853119319724,0.122800176335451,0,0,0.36338852289697
"ECB_00028",0.0908044919301209,0.216066479293634,0.0761468677385577,0.0509157157133178,0.0171978050349438,0,0,1,0.310884498462815
"ECB_00029",0.608964425657385,0.660337607129679,1,0.47642007879919,0.187866409061005,0.046336984957309,0.067195455272746,0.150735573217966,0.324324203383375
"ECB_00030",0.823602565104155,0.728447338620034,1,0.935713469113906,0.302342901156346,0.0417326490909826,0.0571857329558019,0.0607718281828879,0.194982892100461
"ECB_00031",0.996490361981078,0.952552529142036,0.905900744756075,1,0.62602573855207,0.0402906640128075,0,0.0868494188729425,0.250194218720649
"ECB_00032",0.657505926433977,0.699606373669371,0.896178816057321,1,0.160574154212503,0.0815732590538808,0.172006109746871,0.0415520396348979,0.210822156273886
"ECB_00035",0.720396492862609,0.690852194704866,0.646059276053083,1,0.615461899400714,0.0526915484747055,0.0473059721857044,0.261464434621086,0.302591115023752
"ECB_00036",0.52504900850626,0.575600940543452,0.953257754695847,1,0.183509171310171,0.0392813883544011,0.263118603872214,0.67102876715513,0.175203053996815
"ECB_00037",0.469039804328013,0.456911892893109,0.944624347123621,1,0.191477836968538,0.00233789303292693,0.00776373165908053,0.120901926620407,0.0201152578263717
"ECB_00040",0,0.00699755329326437,0.0756734413314931,0.0659983837533633,0.159467945844126,0,1,0.0497381974347671,0.0321291178453558
"ECB_00041",0.0883047788016118,0.0375308629686651,0.021536016889164,0.0503691104630345,0.191007416975873,0.687619868928374,0,0.671479359763546,1
"ECB_00042",0.0384282327760227,0.0416113815506254,0.0345080562738457,0.0761267818098765,0,0,0,0.844140965353191,1
"ECB_00051",0.565565965087615,0.630598508810228,0.797868199041155,0.63078376000552,1,0.44071585154833,0.340860353225682,0.788665697102289,0.5511523868569
"ECB_00052",0.0546831967922548,0.0738071038941224,0.0687401986624844,0.0460791677606288,0.149404684071619,0.550851043952713,0.352935208670731,1,0.189067374997705
"ECB_00055",0.54836995097119,0.776073602850907,1,0.843320900806182,0.351800645217834,0.363166521432081,0.264162180729439,0.446070588726592,0.38917735301673
"ECB_00056",0.273130348013364,0.524982047566778,1,0.579745710381895,0.204125838609267,0.0565595487519189,0.0187857524304287,0.0993884086333695,0.0972937641308675
"ECB_00057",0.659109324826205,0.880640374968204,0.869850381289456,1,0.400690255114871,0.119119559756311,0.0403035392905375,0.16782115895919,0.22187143611804
"ECB_00060",0.58859095350761,0.646065688459288,0.527088284748797,1,0.765822723599088,0.529909017027033,0.299401053335551,0.637474093926056,0.45411552945138
"ECB_00063",0.03909185,0.0412689148512069,0.0143007448733901,0.0255727559158557,0.714791138254585,0,1,0.97621646117197,0.646282059974798
"ECB_00064",0.0302595741099283,0.0180781918581972,0.0624723818096011,0.0179161368784566,0.443957964552283,0.511846993624151,0.65340516616663,1,0.457118270178206
"ECB_00065",0.00680128705927747,0.00428606484949066,0.00465971088305375,0.00561794451860255,0.12352804827453,0.254061685838484,0.421161373268089,1,0.345277157340157
"ECB_00066",0.0219390074632872,0.0104761559902661,0.0151256327262304,0.0218589651444221,0.112260943986152,0.155976424394901,0.213957062558266,1,0.57601372736431
