"gene_id","t3","t4","t5","t6","t8","t24","t48","t168","t336"
"ECB_00001",0.123303876968287,0.125408002682874,1,0.12339872278127,0.126558977555092,0.212272019885137,0.138484455527081,0.340514372553307,0.227856079701069
"ECB_00002",0.613442804978261,0.585407555255199,0.950919714221078,1,0.367627608606772,0.0345420258003958,0.0204728177913776,0.136571251166868,0.13966116102295
"ECB_00003",0.646353087257119,0.538326604704105,0.682503365775558,1,0.323690152497246,0.0314967550524403,0.030290505826997,0.125176361452994,0.124857885270422
"ECB_00004",0.678142099283804,0.711393422143963,0.783823076981461,1,0.313532432059378,0.016186511623531,0.0318146615776035,0.0300508753579775,0.0672289943114639
"ECB_00005",0.627035088056665,0.697217720053856,0.670822801646571,1,0.293951282930524,0.0712546163834233,0.0661083570586384,0.273996781116669,0.181372925956535
"ECB_00006",1,0.867015402088598,0.534400236407991,0.708838238164173,0.399833528963335,0.439722827243133,0.232590015239202,0.324780313242931,0.55117376978593
"ECB_00007",0.0993328933459859,0.205707290208706,0.170137857781686,0.39010315003796,0.80553211890162,0,0,1,0.737309468002659
"ECB_00008",1,0.63001431395519,0.854056098755349,0.657522071049663,0.640750934985338,0.50882797169512,0.203115280726135,0.578830678816032,0.351442443241371
"ECB_00009",0.251436581180946,0.208751639133173,0.297024489819955,0.189300608394226,0.239024507574027,0.558223985697584,0.511921744089841,1,0.758961625526092
"ECB_00010",0.517359057070337,0.882068505185102,0.993596264673701,0.597385622348787,0.625509005697425,1,0.13368129319325,0.349492525800807,0.705981529218162
"ECB_00011",0.0857989972633666,0.076659471847601,0.0302784816260597,0.136353879272429,0.270875668905684,0.615708005526524,0.487734498016945,1,0.719501519647445
"ECB_00012",0.0376081088323475,0.115189562149659,0.0368994369180152,0.0492042708455374,0,0,0,0.293581598162382,1
"ECB_00013",0.0781837,0.156672267453693,0,0.0472456431840323,0,0,1,0.203442788527082,0.415484140559152
"ECB_00014",0.419933978777799,0.268741980239059,0.265448484090731,0.441548818338386,0.850127684144965,0.216262711120198,0.0428411742404787,1,0.105364781006654
"ECB_00015",0.522272840573114,0.515864468213089,0.670541123548583,1,0.979962272503195,0.169348531553565,0.0556046660793199,0.34138828858275,0.184324168770838
"ECB_00016",1,0.838558644025495,0.7505323747204,0.982017691884973,0.702314421865398,0.0201412976287452,0.151814715877867,0.500258768770171,0.505773511967313
"ECB_00017",0.0639760799108223,0.0601985006954959,0.0802131410594901,0.0837731019200651,0.555112606899003,0.456617293594869,0.553516972066453,1,0.438164124344277
"ECB_00018",0.294992535635746,0.367540285118832,0.266479790635174,0.334898782974878,0.61360892723556,0.757275673258308,0.814671729401601,1,0.637457016574103
"ECB_00019",0.395388950596978,0.448975369365443,0.435427321445702,0.474504344883547,0.402513898091678,0.0276675142438315,1,0.6975925586997,0.500885640758549
"ECB_00020",0.0420286649534008,0.13720896323953,0.319407062862676,0.52472160232679,0.0557197710453198,0,0,1,0.510971882920315
"ECB_00021",0,0.133756156976888,0,0,0,0,0,0,1
"ECB_00022",0.032819929,0,0,0,0,0,1,0,0
"ECB_00023",0.251096081212593,0.294530453324157,0.201454967776233,0.489987444962874,0.124834587635503,0,0,1,0.471633316535998
"ECB_00024",0.504196051831741,0.568619726841271,0.674094915068133,1,0.502775322748007,0.136891593778085,0.257954561798299,0.451159983558275,0.65558655556603
"ECB_00025",0,0,0,0,0,0,0,0.932799162545201,1
"ECB_00026",0.416111270054401,1,0.919988400555601,0.428264436573351,0.0239853119319724,0.122800176335451,0,0,0.36338852289697
"ECB_00027",0.618904799220788,1,0.506605497541177,0.709240324207327,0.0946791860680637,0.0519622866579806,0.0456291131511699,0.0400253229321796,0.183193866996814
"ECB_00028",0.0908044919301209,0.216066479293634,0.0761468677385577,0.0509157157133178,0.0171978050349438,0,0,1,0.310884498462815
"ECB_00029",0.608964425657385,0.660337607129679,1,0.47642007879919,0.187866409061005,0.046336984957309,0.067195455272746,0.150735573217966,0.324324203383375
"ECB_00030",0.823602565104155,0.728447338620034,1,0.935713469113906,0.302342901156346,0.0417326490909826,0.0571857329558019,0.0607718281828879,0.194982892100461
"ECB_00031",0.996490361981078,0.952552529142036,0.905900744756075,1,0.62602573855207,0.0402906640128075,0,0.0868494188729425,0.250194218720649
"ECB_00032",0.657505926433977,0.699606373669371,0.896178816057321,1,0.160574154212503,0.0815732590538808,0.172006109746871,0.0415520396348979,0.210822156273886
"ECB_00033",0.813729722117706,1,0.937717819655616,0.88285574661819,0.273113356166474,0.0459172848325848,0.017883024653048,0.193344505576154,0.122651641943173
"ECB_00034",0.369951369177925,0.372280465567749,0.327604570552262,0.231415066786455,1,0,0,0.0301754232556616,0.0571748729627398
"ECB_00035",0.720396492862609,0.690852194704866,0.646059276053083,1,0.615461899400714,0.0526915484747055,0.0473059721857044,0.261464434621086,0.302591115023752
