"gene_id","t3","t4","t5","t6","t8","t24","t48","t168","t336"
"YP_003043986.1",0.772521834021608,0.814139906384041,0.796427238670613,0.907401649164579,0.963698351445066,1,0.836180384770941,0.78647576252401,0.78176306289957
"YP_003045246.1",0.681270924954254,0.469256312370289,1,0.558377418404759,0.483368604060574,0.690490020083772,0.470093167728062,0.672577411633011,0.555209355513369
"YP_003043980.1",0.476245017306875,0.641343333611396,0.488513613786612,0.404056336662991,0.539130341831084,0.859971808109725,0.613850065533292,0.922537937499396,1
"YP_003043822.1",0.948484079398106,1,0.919213337873521,0.926064818079385,0.947565643416603,0.8783514790858,0.643793759704671,0.354947202078546,0.229356794212629
"YP_003046796.1",0.586836693516685,0.624862136814709,0.701173495433532,0.788547852985183,0.920897926081518,0.872029109099623,0.845337236672485,0.973150890288899,1
"YP_003046223.1",1,0.928857456322345,0.930286621920731,0.928245033456899,0.861191736564477,0.848867324500529,0.818505646799119,0.837542513920132,0.916646857410543
"YP_003045863.1",0.681227393468969,0.992491825097981,0.856848863545671,0.995183794465541,1,0.767180260604038,0.753589387662523,0.675245389440193,0.452295336985373
"YP_003043396.1",1,0.974153381078145,0.910777228084979,0.734838032327612,0.712445097835459,0.62410115670459,0.676183959177507,0.61616863845826,0.545406984312313
"YP_003046794.1",0.905322772152221,0.951809088727644,0.914995611135435,1,0.865790560265733,0.796346115268721,0.865479211743527,0.768675194761036,0.877257665581511
"YP_003046974.1",1,0.882398538770278,0.711843228677972,0.74071044276385,0.72829520101582,0.686647350529877,0.753413565207221,0.796044741530678,0.781131123319757
"YP_003046221.1",0.780489588280924,0.826636488868543,0.864917693402873,0.863876997021743,0.913786949451934,0.952074666344636,0.96635174476243,1,0.976717574113492
"YP_003043287.1",0.742191500055375,0.719055376099059,0.740090098107809,0.713591381997697,0.723208191053651,0.787115168628264,0.816393099902779,0.920127374528567,1
"YP_003045411.1",0.739634186171898,0.796398928264526,0.91235395630772,0.922191363174261,0.665135768357805,0.614590424279604,0.802461984702279,1,0.970635947026766
"YP_003044849.1",0.312550160369632,0.179485005783649,0.161031075801899,0.294290773338756,0.445544189524352,1,0.871187759419115,0.838328251111445,0.810954147302748
"YP_003046792.1",0.756666632986825,0.784571123060766,0.817180196714884,1,0.928452565875574,0.789832061011931,0.82859503325253,0.820615797014888,0.916775254468533
"YP_003043535.1",0.782321020436457,0.874064187305064,0.863671319140154,1,0.931975264389866,0.693926706055803,0.759818122284796,0.866813750548552,0.917054307499261
"YP_003044958.1",0.578478260121734,0.0480640398491892,0.353880901906613,0.11030261142965,0.416579192722234,0.902824710425965,0.485073721394842,1,0.813200284001149
"YP_003046231.1",1,0.836203541377278,0.92491446188873,0.707583736449856,0.695271022766968,0.636145559479206,0.713722866249237,0.754369882981293,0.621078604756758
"YP_003047004.1",0.193354266084691,0.0258427928396335,0.247359773307279,0.0664201498198266,0.110021302822599,0.220134972130493,0.182316820279814,0.3567136751592,1
"YP_003045928.1",0.907742565998045,0.784805035033519,0.757400807490363,0.949011911905809,0.735016801109986,0.764842328582981,0.916893807311819,1,0.89654288023048
"YP_003046278.1",1,0.948772592729217,0.851956384877972,0.603766704257592,0.634941872621329,0.586279730328323,0.802890421586885,0.806895517002558,0.839258699982558
"YP_003045407.1",0.899463390182269,0.468340864040494,1,0.881686358683771,0.602481978582193,0.415431049633409,0.161145728388891,0.292168440135492,0.171736839219566
"YP_003045695.1",0.790893330766814,0.592096122924988,0.973032124797977,0.895321032158474,0.809319869094148,0.591081106363132,0.804901044050292,1,0.884569638071457
"YP_003046274.1",1,0.949722016248389,0.932234230977122,0.841998866868649,0.84542427212141,0.834439862811146,0.663694883659396,0.75956621343191,0.7782402493063
"YP_003047397.1",0.505602989494878,0.865759055811479,0.613956689317906,1,0.856744825922547,0.346676608396396,0,0,0
"YP_003045926.1",0.640527320459414,0.677668264335647,0.862128302550131,1,0.719179999633592,0.468807770020017,0.524863492084101,0.414111873776724,0.22817659322027
