"gene_id","A1","A2","A3","tau1","tau2","tau3","tau4"
"ECB_00130","0.92197","0.250373","0.437265","7.610212","8.782036","8.782042","222.355416"
"ECB_00131","0.246827","0.162086","0.562749","25.256936","38.835032","49.350962","128.623109"
"ECB_00133","0.336805","0.050144","0.999955","6.618854","12.830195","66.713594","248.68489"
"ECB_00135","0.00779","0.000162","0.373666","7.135119","20.089945","39.765912","46.758117"
"ECB_00137","0.090799","0.004739","1.122399","6.939292","24.000145","24.319921","195.326339"
"ECB_00141","0.783908","1e-06","0.009852","1.456846","16.656873","28.491359","171.065843"
"ECB_00143","0.87763","0.026016","0.643573","6.721681","9.805572","9.805593","104.664037"
"ECB_00144","0.108804","0.458979","0.263032","5.883059","8.233135","22.953935","172.321932"
"ECB_00147","0.763539","0.200933","0.763943","5.126986","8.640577","22.532848","174.884997"
"ECB_00150","0.27998","0.006284","0.118284","1.613067","24.000007","24.000084","163.072055"
"ECB_00154","0.896092","0.063183","0.81664","20.061664","39.919652","39.920422","241.777587"
"ECB_00157","0.860458","0.001662","0.14533","6.000012","8.570404","22.197966","177.723369"
"ECB_00158","0.679235","0.197484","0.381873","13.210695","21.920989","28.36674","335.99978"
"ECB_00163","0.83882","1e-06","0.430777","5.460586","23.54112","63.633692","187.24026"
"ECB_00166","0.670844","0.491227","0.668879","5.385015","8","47.999995","149.142218"
"ECB_00167","0.835271","0.025305","0.045027","5.716631","8.389139","39.378914","153.535175"
"ECB_00168","0.968114","0.016291","0.032344","6.90617","8.339497","26.98581","183.730778"
"ECB_00171","0.869178","0.147183","0.433192","3.831791","11.744577","37.190692","187.650151"
"ECB_00173","0.81502","0.410774","0.651856","5.633066","7.999822","19.804881","189.803139"
"ECB_00174","0.899358","0.052065","0.245899","5.999999","9.148563","17.776277","175.093633"
"ECB_00175","0.868092","0.041641","0.126372","6.083432","9.441752","28.084436","175.23403"
"ECB_00176","0.758336","0.086001","0.117161","5.005077","11.046572","48.835771","144.69486"
"ECB_00177","0.982126","0.180331","0.260284","5.770726","8.478927","40.874364","228.802865"
"ECB_00178","0.945082","0.024795","0.302466","5.942013","9.579744","9.579853","211.508435"
"ECB_00179","0.828392","0.080605","0.290291","5.694795","8.880495","24.038478","231.207012"
"ECB_00181","0.706749","0.0219","0.169181","6","9.417637","32.027614","180.372275"
"ECB_00182","0.95124","0.061766","0.137545","6.000008","8.616668","30.120776","178.055252"
"ECB_00183","0.855804","0.076938","0.107353","5.486755","8.805122","48.380449","163.691517"
"ECB_00185","0.406852","0.551224","0.699214","6.661489","6.661496","38.222423","166.498531"
"ECB_00188","0.194537","0.424322","0.624417","7.999287","7.999339","70.669828","242.368134"
"ECB_00194","0.735769","0.185328","0.334325","6.577633","8.135214","8.135216","167.660382"
"ECB_00195","0.999732","0.100721","0.24334","1.352639","10.95361","57.612291","194.800894"
"ECB_00196","0.90664","0.030001","0.061891","6.068723","11.517376","38.034948","150.611109"
"ECB_00200","0.205576","0.492933","0.678225","7.047975","16.813593","21.279968","167.995336"
"ECB_00201","0.183886","0.805551","0.804106","23.999999","24.000009","26.18609","129.944013"
"ECB_00202","0.216307","0.335933","0.980061","6.000633","15.782878","76.136772","87.060412"
"ECB_00203","0.189453","0.45887","1.010628","6e-06","19.142884","19.142896","178.783036"
"ECB_00206","0.871342","0.261969","0.798038","11.994858","16.295502","23.998804","184.830606"
"ECB_00211","0.707064","0.002592","0.668686","10.354786","23.999901","23.999904","159.542763"
"ECB_00212","0.013329","0.007119","0.318275","5.982805","9.014938","48.007256","164.816465"
"ECB_00215","0.424207","0.043197","0.527671","8.00001","52.576992","83.403462","127.040799"
"ECB_00217","0.636488","0.252919","0.645926","2.949453","27.108888","28.510213","166.463495"
"ECB_00218","0.737173","0.141583","0.300052","2.691853","20.646646","20.646679","141.190941"
"ECB_00219","0.277019","0.078493","0.755717","4.004583","5.209478","50.947994","162.005673"
"ECB_00220","0.015827","0.093149","0.472561","4.999879","23.163855","39.235564","157.212967"
"ECB_00223","0.058347","0.547107","0.456334","4.752514","8","24.345246","176.201011"
"ECB_00225","0.343864","0.006796","0.641363","1.3e-05","5.000055","50.451038","194.098463"
"ECB_00226","0.209098","0.157608","0.88394","8.000622","17.175557","28.851721","163.789361"
"ECB_00230","0.056627","2e-06","0.905142","4.001129","4.963207","50.31738","162.538463"
"ECB_00231","0.052434","4.1e-05","0.737374","5.000096","24.102917","58.088373","164.894165"
